Title,Date,"Bible Passage",Content,enclosure,Powerpoint,Categories,Series,podPressMedia
"1 Corinthians 15: What Matters Most",2007-08-11,,"
<p style=""text-align: center"">",http://repo.neofreedom.org/public/audio/podcasts/xt070811-new.mp3,http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor15a.pptx,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"1 Corinthians 15: Resurrection!",2007-08-18,,"
",http://repo.neofreedom.org/public/audio/podcasts/xt070818-new.mp3,http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor15b.pptx,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"1 Corinthians 15: The Beauty of Resurrection!",2007-08-25,,"

",http://repo.neofreedom.org/public/audio/podcasts/xt070825-new.mp3,http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor15c.pptx,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"1 Corinthians 16: Victorious Christian Giving",2007-09-08,,"
",http://repo.neofreedom.org/public/audio/podcasts/xt070908-new.mp3,http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor16aGiving.pptx,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"1 Corinthians 16: A Great Work!",2007-09-16,,"
",http://repo.neofreedom.org/public/audio/podcasts/xt070915-new.mp3,http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor16b.pptx,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"James 1: From Trouble to Triumph",2007-09-23,,"

&nbsp;","http://repo.neofreedom.org/public/audio/podcasts/xt070922-new.mp3
13078311
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",http://www.repo.neofreedom.org/public/documents/mspowerpoint/Jas1.pptx,"Central Teachings>New Testament>James",James,
"Jonah: Release from Immaturity",2007-09-30,,"Is it really possible to “Consider it all joy when you encounter various trials…” as James says? It's amazing how obsessed we are as a culture with the pursuit of pleasure, when the average household spends as much on entertainment as on health needs. Yet the need to mature is at least as important as anything else, and without the ability to ""encounter various trials"" we will never be ""mature,"" James says.

Jonah's life is an example of the rough road from the immature expectations in life to maturity. Watch how God transforms this man by challenging his attitude of ingratitude through trials.","http://repo.neofreedom.org/public/audio/podcasts/xt070929-32.mp3
15524882
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:5:""64:41"";s:8:""explicit"";s:0:"""";}",,"Central Teachings>Old Testament>Jonah",,
"James 1: Temptation",2007-10-06,,"Guest speaker Greg Morscher digs into the difficult issue of temptation: what it is and what it is not.","http://repo.neofreedom.org/public/audio/podcasts/xt20071006-web.mp3
13155310
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>James",James,
"James 1: Active Faith",2007-10-20,,"Guest speaker Mark Michalek studies how James defines faith: it is a definition which does not fit popular notions, but it is a powerful and life-changing way of approaching life.","http://repo.neofreedom.org/public/audio/podcasts/xt20071020-web.mp3
9046627
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>James",James,
"James 2: The Law of Liberty",2007-11-03,,"James turns his full attention on the core problem in this fledgling Christian movement, and it could be described as the biggest problem weighing on our hearts: <em>poisonous thoughts.</em> It means a difference between authentic and counterfeit spiritual life. James shows the freedom that comes when we lay aside poisonous thoughts and instead live “by the law of liberty.”","http://repo.neofreedom.org/public/audio/podcasts/xt20071103-web.mp3
14247943
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>James",James,
"James 2: Law vs. Grace",2007-11-10,,"Why is this book of James so often despised? This is the passage which usually evokes such strong reactions, and it can be a difficult one to understand — if you’re not a 1st Century Jew. They, of course, easily understood it.

James shows us that living by <em>The Law of Liberty</em> eventually produces amazing fruitfulness. It’s the difference between living <em>under law</em> and <em>under grace.</em>","http://repo.neofreedom.org/public/audio/podcasts/xt20071110-web.mp3
13696574
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>James",James,
"James 3: A Community on Fire!",2007-11-17,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20071117-web.mp3
15212508
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",http://repo.neofreedom.org/public/documents/mspowerpoint/James3a%20A%20Community%20Aflame.pptx,"Central Teachings>New Testament>James",James,
"James 3: The Wisdom of God's Love",2007-12-01,,"James compares ""Wisdom"" against “wisdom”. Real ""Wisdom"" is marked by the presence of God's love, while the ""wisdom"" that ""is earthly, natural, demonic"" is the epitome of what the Bible calls ""foolishness."" These become two ways to live life: by God's love, or ""natural, demonic"" folly.","http://repo.neofreedom.org/public/audio/podcasts/xt20071201_32.mp3
15032450
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>James",James,
"James 4: The World of Appetites",2007-12-08,,"""What is causing the quarrels and fights among you?"" Now there's a <em>very</em> good question! If we knew how to answer that, how many relationships would benefit!

This is precisely what James answers as he tries to teach this new Christian fellowship how to make it work.","http://repo.neofreedom.org/public/audio/podcasts/xt20071208_32.mp3
13592476
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>James",James,
"James 5: The Plight of the Rich",2007-12-15,,"About 25,000 people die every day of hunger or hunger-related causes, according to the United Nations, but not for lack of available food. They simply are too poor to afford it.

James teaches us what it means to be God's advocate for the poor, and it can become one of the most fulfilling and meaningful ways to serve the Creator.","http://repo.neofreedom.org/public/audio/podcasts/xt20071215_32.mp3
13484434
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>James",James,
"Christmas Gala 2007",2007-12-22,,"“And suddenly there was with the angel, a multitude of the heavenly host, praising God, and saying: 'Glory to God in the highest, and peace on earth, good will towards men.'""

It was surely the most exciting moment in all history--reserved for simple shepherds! What honor and glory God gives even those who seem the most insignificant! Keith and Kyle McCallum go through this dramatic event as part of our 2007 Christmas Pageant.","http://repo.neofreedom.org/public/audio/podcasts/xt20071222_32.mp3
5976946
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Special Events>Christmas Gala|Teacher>Keith McCallum|Central Teachings>New Testament>Luke|Teacher>Guest",,
"2 Chronicles 14-16: King Asa",2008-01-06,,"<blockquote>“And without faith it is impossible to please Him...” Hebrews 11:6</blockquote>
Faith is considered one of those optional but nice components in life. But did you know that <em>whatever you hold back holds you back?</em> King Asa was a powerful, godly king in Judah, the southern half of Israel. But he became too powerful to worry about things like faith, and God sent a prophet to remind him one of the most beautiful, timeless truths about the significance of faith:
<blockquote>“The eyes of the Lord search the whole earth in order to support those whose hearts are committed to him.” – 2 Chron. 16:9
<div>
</div></blockquote>
",http://repo.neofreedom.org/public/audio/podcasts/2chron20-asa.mp3,,"Central Teachings>Old Testament>2 Chronicles",,
"James 5: The Power of Patience in Job",2008-01-20,,"Especially during stress, patience is in short supply. James advises the new church:
<blockquote>""You know about Job, a man of great endurance. You can see how the Lord was kind to him at the end, for the Lord is full of tenderness and mercy."" James 5:11</blockquote>
The book of Job may be the oldest book in the Bible, but it describes a man who knew and lived patience in a way that richly rewards the modern reader.

[embeddoc url=""http://www.repo.neofreedom.org/public/documents/mspowerpoint/Job%20-%20The%20Power%20of%20Patience.pptx"" download=""all"" viewer=""microsoft""]","http://repo.neofreedom.org/public/audio/podcasts/xt20080119_32.mp3
19014452
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:19:13"";}",,"Central Teachings>New Testament>James",James,
"Hebrews 1: Introduction to Hebrews",2008-01-27,,"The book of Hebrews is one of the most important books in the New Testament! Without it, we have no clear explanation of the link between the ""Old"" and ""New"" Testaments. This book rocks! Follow along with our Podcasts, and get an <a href=""https://feeds.feedburner.com/neofreedomCentral?format=xml"">RSS Feed</a> to keep updated!","http://repo.neofreedom.org/public/audio/podcasts/xt20080126_32.mp3
15970455
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 2: The Impact of Christ",2008-02-02,,"In chapter 1, the author of Hebrews shows us that God has revealed Himself to us through His Son, Jesus Christ. How do we respond to this revelation and not ""drift away"" from this powerful truth? Find out how God has delivered us from slavery and made us significant members of His family.","http://repo.neofreedom.org/public/audio/podcasts/xt20080202_32.mp3
16426449
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 4: Conquest Through Rest",2008-03-02,,"<blockquote>“His work has been finished since the creation of the world.”(Hebrews 4:3)</blockquote>
God has set up a framework for a victorious life, and he invites us to join Him. God’s Plan deserves consideration! It's an ingenious plan which makes life work. God has all the angles covered:
<blockquote>“Nothing in all creation is hidden from God’s sight. Everything is uncovered and laid bare before the eyes of him to whom we must give account.” (Heb. 4:13)</blockquote>","http://repo.neofreedom.org/public/audio/podcasts/xt080301_32.mp3
12429733
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 4: The Person of God's Rest",2008-03-29,,"Entering ""God's Rest"" is a person-oriented change of focus, not a behavioral change, and certainly not achieved through rules. This was the biggest hangup for the audience of this letter: <em>let go the rules!</em> But here's the profound nature of God's Rest: ""let go and rest"" means <em>unleashing the strength and power of God in our lives! </em>It's all bound up in the King-Priest roles of Christ.","http://repo.neofreedom.org/public/audio/podcasts/xt080329_32.mp3
14110438
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 5: Food for Spiritual Life",2008-04-05,,"The book of Hebrews is growing increasingly complicated as the author ties together the vast, Eternal Plan of God. But there's a problem: <em>these people can't understand!</em> They're too immature.

This time we'll examine the difference between immaturity and maturity, and consider how spiritual growth works. It's a marvelous breakthrough when we finally get on our feet spiritually.","http://repo.neofreedom.org/public/audio/podcasts/xt080405_32.mp3
15050529
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 6: Let's Move On!",2008-04-13,,"It's ""time to move on!"" That's the message to these Hebrew Christians in this chapter:
<blockquote>Therefore leaving the elementary teaching about the Christ, let us press on to maturity! <em>Hebrews 6:1</em></blockquote>
And we learn here:
<ul>
	<li>What's the difference between ""milk"" and ""meat"" truths about God?</li>
	<li>How do you know if you're ""stuck""?</li>
	<li>How do you get ""un-stuck""?</li>
	<li>What makes ""maturity"" so great anyway?</li>
</ul>
It's a passage with a great forward-looking hope for all Christians of all ages.","http://repo.neofreedom.org/public/audio/podcasts/xt080412_32.mp3
19609941
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 6: Anchors of the Soul",2008-04-20,,"What's the difference between ""faith"" and ""hope""? What's the difference between the Christian ""hope"" and wishful thinking? In this section of Hebrews we find a foundation for spiritual motivation, direction and courage that endures:
<blockquote>We have this hope as an anchor for the soul, firm and secure.<em> Hebrews 6:19 (NIV)</em></blockquote>","http://repo.neofreedom.org/public/audio/podcasts/xt20080419.mp3
10033426
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 7: Sanctuary of Hope",2008-05-03,,"Why would anyone avoid God? He's so loving, holds no grudges and expects no payments for taking care of our deepest concerns or most trivial worries.

<em>Why avoid God?</em> He scares me! He could interrupt my plans! He's overbearing! I'm unwelcome! Maybe these are some of your hangups with God?

The writer of Hebrews disagrees with these assessments, and points to one of the most ancient and perhaps obscure characters in the Bible: Melchezedek. There lies the proof that God wants nothing to stand in between Himself and us, because He is far more loving than we could possibly imagine!

What God wants for us is a life of hope. The destination? <em>Inside His sanctuary!</em>","http://repo.neofreedom.org/public/audio/podcasts/xt080503_32.mp3
14259963
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"1 Peter 4: Suffering",2008-04-26,,"Guest speaker Terry Alesnik teaches on the issue of suffering.","http://repo.neofreedom.org/public/audio/podcasts/xt080426_32.mp3
12889262
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>1 Peter",,
"Hebrew 8: Man's Rebellion Meets God's Grace",2008-05-17,,"<blockquote>he is the one who mediates for us a far better covenant with God, based on better promises.</blockquote>
This is what Jesus Christ means in the stream of human history: all the love and promises of God wrapped-up in this one person. He not only fulfilled all the pictures and prophecies in the Old Testament, but fulfills a life ""based on better promises"" today! Listen to the amazing story about <a href=""https://www.amazon.com/Scarlet-Thread-UNABRIDGED-McCallum-Author/dp/1590670094"">the Scarlet Thread</a> that courses throughout history!","http://repo.neofreedom.org/public/audio/podcasts/xt080517_32.mp3
16077664
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 9: Be Bold! Be Free!",2008-05-24,,"<blockquote>But now Christ has appeared once for all at the end of the ages to do away with sin by the sacrifice of himself. Hebrews 9:26</blockquote>
Yes, this is what radical grace looks like, and it scares the control freaks! That's what Jesus came to do, though: the freedom that comes through his forgiveness ignites a real heart of boldness! It means, ""Out with the old!"" And it triggers a revolution of the heart.","http://repo.neofreedom.org/public/audio/podcasts/xt080524_32.mp3
14992015
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 10: A New and Living Way!",2008-05-31,,"Finally! We leave behind the question of rituals and head into a ""New and Living Way"" in Hebrews. This marks a turning-point in the book as the writer tells us how to ""draw near"" with God: through the ""inner sanctuary"" of the heart, and through a wild-crazy, new <em>house</em> which Jesus is building!","http://repo.neofreedom.org/public/audio/podcasts/xt080531_32.mp3
15008942
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 10: Don't Lose Hope!",2008-06-07,,"How do you reconcile these two passages in Hebrews 10:
<blockquote>“I will never again remember their sins and lawless deeds” (v.17)</blockquote>
<blockquote>“If we go on sinning willfully…there no longer remains a sacrifice for sins” (v26)</blockquote>
Sometimes our walk with Christ is back-and-forth, just like those two verses seem to be going back-and-forth between a ""terrifying expectation of judgment"" and the hope of ""let us draw near to God..."" This week we get insight from Hebrews on why this happens: <em>losing hope</em>. It's symptomatic of the dreaded ""OCS"" - that is, ""Older Christian Syndrome.""","http://repo.neofreedom.org/public/audio/podcasts/xt080607_32.mp3
16166480
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 11: A Foundation for Hope",2008-06-14,,"Now faith is being sure of what we hope for and certain of what we do not see. Hebrews 11:1

Hope means motivation, direction and courage. But what's the difference between Christian hope and mindless zeal? This passage answers that question, and uses Old Testament examples to demonstrate spiritual life.","http://repo.neofreedom.org/public/audio/podcasts/xt080614_32.mp3
16745458
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"John 12 - The Seed Analogy",2008-06-21,,,http://repo.neofreedom.org/public/audio/podcasts/xt080621_32.mp3,,"Central Teachings>New Testament>John",,
"Hebrews 11: A Legacy of Faith",2008-06-28,,"<blockquote>Therefore there was born even of one man, and him as good as dead at that, as many descendants as the stars of heaven in number, and innumerable as the sand which is by the seashore. Hebrews 11:12</blockquote>
Abraham is undoubtedly one of the most important figures in history, yet he was really a ""nobody"" at one time. This passage tells us how God responds to our faith, and builds a legacy of a lifetime.
",http://repo.neofreedom.org/public/audio/podcasts/xt080628_32.mp3,,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 11: Faith that Shook the World",2008-07-05,,"<blockquote>All these people died still believing what God had promised them. They did not receive what was promised, but they saw it all from a distance and welcomed it. They agreed that they were foreigners and nomads here on earth. Heb. 11:13</blockquote>
Faith unleashed: this passage reviews a long list of people who changed the world through faith in God.
",http://repo.neofreedom.org/public/audio/podcasts/xt080705_32.mp3,,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 12: The Race of Faith",2008-07-13,,,http://repo.neofreedom.org/public/audio/podcasts/xt080712_32.mp3,,"Central Teachings>New Testament>Hebrews",Hebrews,
"Daniel 1 - God's Kingdom is the Only Kingdom",2008-07-31,,,"http://neofreedom.org/wp-content/uploads/podcasts/xt080726_32.mp3
0
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";N;s:6:""author"";N;s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}
",,"Central Teachings>Old Testament>Daniel",,
"Daniel 9:1-23 - Know God and Pray",2008-08-02,,,"http://neofreedom.org/wp-content/uploads/podcasts/xt080802_32.mp3
0
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";N;s:6:""author"";N;s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}
",,"Central Teachings>Old Testament>Daniel",,
"Hebrews 12: The Substance of Faith",2008-08-09,,"Here is the argument developed in Hebrews 11 and 12: that Biblical faith means a victorious life of hope, impact, winning, and finally building substance. The quality of substance means having mature character, or God's character, and this is the amazing power delivered by the walk of faith. <em>Find out how faith in God builds substance.</em>
",http://repo.neofreedom.org/public/audio/podcasts/xt080809_32.mp3,,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 12: Esau and the Awesome Power of Free Will",2008-08-16,,,http://repo.neofreedom.org/public/audio/podcasts/xt080816_32.mp3,,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 12: The Expression of Faith",2008-08-23,,"""Yet once more I will shake not only the earth, but also the heaven.""

So it is, and will be: <em>God is into shaking things up</em>. How do you respond? The writer of Hebrews proposes this as a healthy and realistic expression of faith in God:

But it's not what you think! Listen to how this idea of ""reverence and awe"" gets developed in Hebrews...
",http://repo.neofreedom.org/public/audio/podcasts/xt080823_32.mp3,,"Central Teachings>New Testament>Hebrews",Hebrews,
"Hebrews 13: The Courageous Life",2008-09-06,,"As we come to the end of Hebrews, we see a clear choice between living a ""Fear-Driven Life"" and a ""Courageous Life"" now facing the readers. But today we too face the same choice. Find out how God ""set free all those who have lived their lives to the fear of dying,"" and what a courageous life looks like, from God's perspective!<!--more-->

<strong>Kate McCallum</strong> also gives her story about the power of predators in this strange era, but more -- the power of God to set us free from our fears!

[podcast]http://repo.neofreedom.org/public/audio/podcasts/xt080906_32.mp3[/podcast]","http://repo.neofreedom.org/public/audio/podcasts/xt080906_32.mp3
18387453
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>New Testament>Hebrews",Hebrews,
"John 3:1-16 Born Again",2008-09-13,,,http://repo.neofreedom.org/public/audio/podcasts/xt080913_32.mp3,,"Central Teachings>New Testament>John",,
"Hebrews 13: Courageous Love!",2008-09-20,,"It takes real courage to love the way God loves, but God sets us free from a fear-driven life so we can courageously love people around us. Learn how to step into the ""hope-driven life"" full of gratitude and courage!

We begin with a discussion about fears, and after the teaching we hear from Tom Smith about how his fears were alleviated through his faith in Jesus.
",http://repo.neofreedom.org/public/audio/podcasts/xt080920_24.mp3,,"Central Teachings>New Testament>Hebrews",Hebrews,
